Active,ParkCode,Resource,Description,Year,LocationID,AcceptedSpecies,USDA_CName,Family,FamilyCommonName,Origin,SumOfSeedling,SumOfSmallSapling,SumOfLargeSapling
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Acer rubrum,red maple,Aceraceae,Maple family,N,15,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Celtis occidentalis,common hackberry,Ulmaceae,Elm family,N,1,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Cornus florida,flowering dogwood,Cornaceae,Dogwood family,N,9,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Diospyros virginiana,common persimmon,Ebenaceae,Ebony family,N,14,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Juniperus virginiana,eastern redcedar,Cupressaceae,Cypress family,N,6,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Red oak group,NA,Fagaceae,Beech family,N,2,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,33,1,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,Ulmus,elm,Ulmaceae,Elm family,N,4,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon10,White oak group,NA,Fagaceae,Beech family,N,1,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Acer rubrum,red maple,Aceraceae,Maple family,N,2,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Carya,hickory,Juglandaceae,Walnut family,N,2,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Celtis occidentalis,common hackberry,Ulmaceae,Elm family,N,4,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Cornus florida,flowering dogwood,Cornaceae,Dogwood family,N,1,0,1
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Diospyros virginiana,common persimmon,Ebenaceae,Ebony family,N,1,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Fraxinus americana,white ash,Oleaceae,Olive family,N,7,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Morus rubra,red mulberry,Moraceae,Mulberry family,N,1,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Prunus,plum,Rosaceae,Rose family,N,5,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Sassafras albidum,sassafras,Lauraceae,Laurel family,N,1,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Ulmus,elm,Ulmaceae,Elm family,N,20,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon13,Ulmus alata,winged elm,Ulmaceae,Elm family,N,0,0,1
TRUE,PERI,forest,OAH,2007,PERIVegMon13,White oak group,NA,Fagaceae,Beech family,N,14,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon15,Acer rubrum,red maple,Aceraceae,Maple family,N,4,0,0
TRUE,PERI,forest,OAH,2007,PERIVegMon15,Carya,hickory,Juglandaceae,Walnut family,N,9,0,0
